id,industry,risk_domain,title,description,tags,source_ref,notes
domain-sanctions-trade-compliance,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance — core exposure,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted Example sources: OFAC, UN, EU sanctions","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
sanctions-trade-compliance-ofac,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance: OFAC,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
sanctions-trade-compliance-eu-sanctions,Maritime / Middle East shipping (POC),Sanctions & trade compliance,Sanctions & trade compliance: EU sanctions,"Vessel, owner, consignee, cargo, port, beneficial owner may be restricted","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-maritime-security,Maritime / Middle East shipping (POC),Maritime security,Maritime security — core exposure,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure Example sources: UKMTO, JMIC, MSCIO, IMB","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
maritime-security-ukmto,Maritime / Middle East shipping (POC),Maritime security,Maritime security: UKMTO,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-jmic,Maritime / Middle East shipping (POC),Maritime security,Maritime security: JMIC,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-mscio,Maritime / Middle East shipping (POC),Maritime security,Maritime security: MSCIO,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
maritime-security-imb,Maritime / Middle East shipping (POC),Maritime security,Maritime security: IMB,"Red Sea, Gulf of Aden, Strait of Hormuz, Gulf of Oman, Bab el-Mandeb exposure","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
domain-port-state-control-vessel-quality,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality — core exposure,"Detentions, deficiencies, safety history, substandard vessel risk Example sources: Riyadh MoU, Paris MoU, Equasis, IMO","poc-seed,tvra",ISO ROBOT RISK POC.xlsx / Risk Tables structure,
port-state-control-vessel-quality-riyadh-mou,Maritime / Middle East shipping (POC),Port State Control / vessel quality,Port State Control / vessel quality: Riyadh MoU,"Detentions, deficiencies, safety history, substandard vessel risk","poc-seed,example-source",ISO ROBOT RISK POC.xlsx,
